Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
65862-003,Mirtazapine,Aurobindo Pharma Limited,30,mg/1,,$100.30,10
65841-779,Etodolac,Zydus Lifesciences Limited,600,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$11.92,51
72137-113,"LIDOCAINE, CAPSAICIN, MENTHOL, METHYL SALICYLATE",1ST MEDX LLC,.0375; 4; 5; 20,g/1; g/1; g/1; g/1,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$7.55,73
0009-0306,methylprednisolone acetate,Pharmacia & Upjohn Company LLC,80,mg/mL,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$48.03,62
63304-719,Diltiazem hydrochloride,"Sun Pharmaceutical Industries, Inc.",180,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$11.26,22
67296-1269,ciprofloxacin,"RedPharm Drug, Inc.",750,mg/1,"Quinolone Antimicrobial [EPC], Quinolones [CS]",$7.58,44
72189-081,CLONAZEPAM,DIRECT RX,0.5,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$110.50,57
45865-964,Diclofenac Sodium,medsource pharmaceuticals,16.05,mg/mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]",$1.57,75
51672-1330,Terconazole,"Taro Pharmaceuticals U.S.A., Inc.",80,mg/1,"Azole Antifungal [EPC], Azoles [CS]",$42.61,15
72189-376,Acetaminophen and Codeine Phosphate,Direct_Rx,300; 60,mg/1; mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$130.64,36
71335-0883,Methimazole,Bryant Ranch Prepack,10,mg/1,"Thyroid Hormone Synthesis Inhibitor [EPC], Thyroid Hormone Synthesis Inhibitors [MoA]",$110.19,35
0591-0605,Labetalol hydrochloride,"Actavis Pharma, Inc.",100,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$97.09,82
72606-567,Zolmitriptan,"CELLTRION USA, INC.",2.5,mg/1,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",$3.49,1
43538-900,fluocinolone acetonide,"Medimetriks Pharmaceuticals, Inc.",0.25,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$20.07,51
59651-334,Albuterol,Aurobindo Pharma Limited,4,mg/1,"Adrenergic beta2-Agonists [MoA], beta2-Adrenergic Agonist [EPC]",$35.62,68
67457-266,Levetiracetam,Mylan Institutional LLC,15,mg/mL,Decreased Central Nervous System Disorganized Electrical Activity [PE],$86.16,11
0143-9584,Glycopyrrolate,Hikma Pharmaceuticals USA Inc.,0.2,mg/mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$136.53,26
70934-851,Clonidine hydrochloride,"Denton Pharma, Inc. DBA Northwind Pharmaceuticals",0.1,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$20.31,5
68071-2807,hydrocortisone 2.5%,"NuCare Pharmaceuticals,Inc.",25,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$4.60,17
71209-054,Celecoxib,Cadila Pharmaceuticals Limited,50,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$72.91,52
0228-3086,Alprazolam,"Actavis Pharma, Inc.",3,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$209.15,73
70518-3668,Haloperidol,REMEDYREPACK INC.,0.5,mg/1,Typical Antipsychotic [EPC],$96.15,62
70513-001,Oxygen,"MedCare Equipment Company, LLC",990,mL/L,,$76.08,14
68071-1562,LACTULOSE,"NuCare Pharmaceuticals, Inc.",10,g/15mL,"Acidifying Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",$81.49,87
60687-544,Clonazepam,American Health Packaging,0.5,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$3.56,64
47335-678,Diltiazem Hydrochloride,"Sun Pharmaceutical Industries, Inc.",300,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$1.36,1
0409-3383,Piperacillin and Tazobactam,"Hospira, Inc",2; .25,g/10mL; g/10mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]",$99.50,23
76333-127,Miglitol,"Orient Pharma Co., Ltd.",100,mg/1,"alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",$87.98,13
27241-071,Memantine Hydrochloride,Ajanta Pharma USA Inc.,10,mg/1,"N-methyl-D-aspartate Receptor Antagonist [EPC], NMDA Receptor Antagonists [MoA]",$106.75,71
67296-0897,Levofloxacin,"RedPharm Drug, Inc.",500,mg/1,,$37.65,30
58406-010,etanercept,Immunex Corporation,25,mg/.5mL,"Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]",$1.29,40
70518-1599,Haloperidol,REMEDYREPACK INC.,10,mg/1,Typical Antipsychotic [EPC],$28.71,88
76282-711,lanreotide acetate,"Exelan Pharmaceuticals, Inc.",120,mg/.5mL,"Somatostatin Analog [EPC], Somatostatin Receptor Agonists [MoA]",$183.73,98
69339-158,Testosterone,Dash Pharmaceuticals LLC,30,mg/1.5mL,"Androgen Receptor Agonists [MoA], Androgen [EPC], Androstanes [CS]",$56.29,70
67457-373,Heparin sodium,Mylan Institutional LLC,20000,[USP'U]/mL,"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",$25.19,24
50090-4667,levothyroxine sodium,A-S Medication Solutions,112,ug/1,"Thyroxine [CS], l-Thyroxine [EPC]",$20.58,33
72189-329,spironolactone,Direct Rx,100,mg/1,"Aldosterone Antagonist [EPC], Aldosterone Antagonists [MoA]",$0.83,30
43353-447,Sertraline Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC",100,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$86.05,83
68084-859,Levetiracetam,American Health Packaging,250,mg/1,Decreased Central Nervous System Disorganized Electrical Activity [PE],$61.53,36
68083-101,Adenosine,Gland Pharma Limited,3,mg/mL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",$93.31,3
81469-416,doxepin hydrochloride,"First Nation Group, LLC",25,mg/1,Tricyclic Antidepressant [EPC],$5.06,46
72189-201,IRBESARTAN,direct rx,75,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$54.41,34
72606-004,clobazam,"CELLTRION USA, INC.",20,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA]",$3.11,93
73362-011,Lonapegsomatropin-tcgd,"Ascendis Pharma Endocrinology, Inc.",13.3,mg/1,"Human Growth Hormone [CS], Recombinant Human Growth Hormone [EPC]",$96.17,26
0054-4181,Dexamethasone,"Hikma Pharmaceuticals USA, Inc.",1,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$164.17,57
63187-828,Omeprazole,Proficient Rx LP,40,mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$74.73,13
65862-556,Minocycline Hydrochloride,Aurobindo Pharma Limited,90,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$72.20,2
29300-377,Nebivolol Hydrochloride,"Unichem Pharmaceuticals (USA), Inc.",10,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$81.79,8
70934-212,Metformin HCl,"Denton Pharma, Inc. DBA Northwind Pharmaceuticals",500,mg/1,"Biguanide [EPC], Biguanides [CS]",$3.44,67
70518-3428,buspirone hydrochloride,REMEDYREPACK INC.,10,mg/1,,$94.71,41
0615-8253,Lisinopril,"NCS HealthCare of KY, LLC dba Vangard Labs",5,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$143.68,77
51407-432,Metolazone,"Golden State Medical Supply, Inc.",5,mg/1,"Increased Diuresis [PE], Thiazide-like Diuretic [EPC]",$33.10,64
0615-8410,Pravastatin Sodium,"NCS HealthCare of KY, LLC dba Vangard Labs",80,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$133.60,59
71610-107,Gemfibrozil,"Aphena Pharma Solutions - Tennessee, LLC",600,mg/1,"PPAR alpha [CS], Peroxisome Proliferator Receptor alpha Agonist [EPC], Peroxisome Proliferator-activated Receptor alpha Agonists [MoA]",$9.29,47
70985-011,ciprofloxacin,DRUG OCEAN LLC,250,mg/1,"Quinolone Antimicrobial [EPC], Quinolones [CS]",$24.51,88
0703-3427,Ifosfamide,"Teva Parenteral Medicines, Inc.",1,g/20mL,"Alkylating Activity [MoA], Alkylating Drug [EPC]",$39.48,35
65862-246,Levetiracetam,Aurobindo Pharma Limited,500,mg/1,Decreased Central Nervous System Disorganized Electrical Activity [PE],$11.97,48
68382-480,fesoterodine fumarate,Zydus Pharmaceuticals USA Inc.,8,mg/1,,$34.10,40
71872-7099,Adenosine,"Medical Purchasing Solutions, LLC",3,mg/mL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",$173.03,41
51293-611,Phenazopyridine,"ECI Pharmaceuticals, LLC",100,mg/1,,$0.70,66
42602-003,NITROUS OXIDE,"Norco, Inc",99,L/100L,,$125.20,28
0143-3018,Colchicine,Hikma Pharmaceuticals USA Inc.,0.6,mg/1,"Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Interactions [MoA]",$64.12,53
50090-3917,lithium carbonate,A-S Medication Solutions,300,mg/1,Mood Stabilizer [EPC],$101.49,47
52268-012,"sodium sulfate, potassium sulfate, magnesium sulfate","Braintree Laboratories, Inc.",1.6; 3.13; 17.5,g/mL; g/mL; g/mL,"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",$63.08,14
49483-603,IBUPROFEN,"TIME CAP LABORATORIES, INC",600,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$113.63,39
51672-4166,Clocortolone Pivalate,"Taro Pharmaceuticals U.S.A., inc.",0.001,g/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$28.25,25
53041-690,Diatrizoate Meglumine and Diatrizoate Sodium,Guardian Drug Company,660; 100,mg/mL; mg/mL,"Radiographic Contrast Agent [EPC], Radiographic Contrast Agent [EPC], X-Ray Contrast Activity [MoA], X-Ray Contrast Activity [MoA]",$18.51,60
55154-6893,escitalopram oxalate,"Cardinal Health 107, LLC",10,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$19.39,4
68180-966,Levothyroxine Sodium,"Lupin Pharmaceuticals, Inc.",0.05,mg/1,"Thyroxine [CS], l-Thyroxine [EPC]",$65.44,15
82137-017,atorvastatin calcium,"Lepu Pharmaceutical Technology Co., Ltd.",20,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$55.37,68
64764-158,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",850; 15,mg/1; mg/1,"Biguanide [EPC], Biguanides [CS], PPAR alpha [CS], PPAR gamma [CS], Peroxisome Proliferator Receptor alpha Agonist [EPC], Peroxisome Proliferator Receptor gamma Agonist [EPC], Peroxisome Proliferator-activated Receptor Activity [MoA], Thiazolidinedione [EPC], Thiazolidinediones [CS]",$66.87,9
68788-7406,Econazole Nitrate,Preferred Pharmaceuticals Inc.,10,mg/g,"Azole Antifungal [EPC], Azoles [CS]",$93.76,75
66993-831,Triamterene,Prasco Laboratories,50,mg/1,"Decreased Renal K+ Excretion [PE], Increased Diuresis [PE], Potassium-sparing Diuretic [EPC]",$34.96,65
53877-010,Anticoagulant Citrate Phosphate Dextrose (CPD),Terumo Corporation,209; 1.79; 156; 1.84,mg/70mL; g/70mL; mg/70mL; g/70mL,"Acidifying Activity [MoA], Acidifying Activity [MoA], Anti-coagulant [EPC], Anti-coagulant [EPC], Calcium Chelating Activity [MoA], Calcium Chelating Activity [MoA], Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Decreased Coagulation Factor Activity [PE], Decreased Coagulation Factor Activity [PE]",$144.62,97
63629-9280,Propafenone Hydrochloride,Bryant Ranch Prepack,300,mg/1,Antiarrhythmic [EPC],$31.99,1
61919-782,AMLODIPINE BESYLATE,Direct_Rx,10,mg/1,"Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$20.39,80
68083-376,Glycopyrrolate,Gland Pharma Limited,0.2,mg/mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$104.82,9
68462-865,Chlorpromazine Hydrochloride,"Glenmark Pharmaceuticals Inc., USA",200,mg/1,"Phenothiazine [EPC], Phenothiazines [CS]",$13.06,88
70518-2355,lidocaine,REMEDYREPACK INC.,50,mg/g,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$138.07,14
76431-130,lomitapide mesylate,Amryt Pharmaceuticals DAC,30,mg/1,"Cytochrome P450 3A4 Inhibitors [MoA], Microsomal Triglyceride Transfer Protein Inhibitor [EPC], Microsomal Triglyceride Transfer Protein Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",$96.07,68
70518-3090,Aripiprazole,REMEDYREPACK INC.,2,mg/1,Atypical Antipsychotic [EPC],$65.41,59
0527-1335,Doxycycline,"Lannett Company, Inc.",50,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$0.85,30
67850-071,VERAPAMIL HYDROCHLORIDE,Methapharm Inc.,2.5,mg/mL,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",$13.86,93
51662-1460,HEPARIN SODIUM,"HF Acquisition Co LLC, DBA HealthFirst",5000,[USP'U]/mL,"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",$82.37,15
70518-3236,insulin aspart,REMEDYREPACK INC.,100,[iU]/mL,"Insulin Analog [EPC], Insulin [CS]",$73.46,38
31722-118,Lidocaine Hydrochloride,"Camber Pharmaceuticals, Inc.",20,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$42.65,48
62332-086,Fenofibrate,Alembic Pharmaceuticals Inc.,200,mg/1,Peroxisome Proliferator Receptor alpha Agonist [EPC],$111.03,95
72205-104,Chlorpromazine Hydrochloride,Novadoz Pharmaceuticals LLC,25,mg/1,"Phenothiazine [EPC], Phenothiazines [CS]",$67.24,30
0378-5391,doxepin hydrochloride,Mylan Pharmaceuticals Inc.,6,mg/1,Tricyclic Antidepressant [EPC],$0.13,55
51407-731,travoprost,"Golden State Medical Supply, Inc.",0.04,mg/mL,"Prostaglandin Analog [EPC], Prostaglandins [CS]",$214.82,39
0049-0116,anidulafungin,Roerig,100,mg/30mL,"Echinocandin Antifungal [EPC], Lipopeptides [CS]",$4.18,71
71205-862,Danazol,Proficient Rx LP,200,mg/1,"Androgen Receptor Agonists [MoA], Androgen [EPC], Androstanes [CS]",$24.79,59
68071-5286,Hydroxyzine hydrochloride,"NuCare Pharmaceuticals,Inc.",25,mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA]",$43.55,7
43547-020,quetiapine,"Solco Healthcare U.S., LLC",150,mg/1,Atypical Antipsychotic [EPC],$100.46,85
42291-632,Naltrexone Hydrochloride,AvKARE,50,mg/1,"Opioid Antagonist [EPC], Opioid Antagonists [MoA]",$30.21,8
69784-713,Carvedilol Phosphate,Woodward Pharma Services LLC,10,mg/1,"Adrenergic alpha-Antagonists [MoA], Adrenergic beta1-Antagonists [MoA], Adrenergic beta2-Antagonists [MoA], alpha-Adrenergic Blocker [EPC], beta-Adrenergic Blocker [EPC]",$86.13,26
61520-001,Oxygen,Premier Medical Distribution,99,L/100L,,$13.01,39
42708-141,Atorvastatin Calcium,QPharma Inc,20,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$211.05,84
63187-905,Triamterene and Hydrochlorothiazide,Proficient Rx LP,25; 37.5,mg/1; mg/1,"Decreased Renal K+ Excretion [PE], Increased Diuresis [PE], Increased Diuresis [PE], Potassium-sparing Diuretic [EPC], Thiazide Diuretic [EPC], Thiazides [CS]",$157.64,53
68788-7517,ketorolac tromethamine,"Preferred Pharmaceuticals, Inc.",5,mg/mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$29.52,23
70377-006,Rosuvastatin Calcium,Biocon Pharma Inc,5,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$124.24,53
71205-470,Metaxalone,Proficient Rx LP,800,mg/1,Centrally-mediated Muscle Relaxation [PE],$78.14,58
63187-842,Haloperidol,Proficient Rx LP,5,mg/1,Typical Antipsychotic [EPC],$143.57,25
61919-668,NABUMETONE,DIRECT RX,500,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$4.54,96
71205-356,cyclobenzaprine hydrochloride,Proficient Rx LP,5,mg/1,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",$30.47,11
71335-1072,Metformin HCl,Bryant Ranch Prepack,500,mg/1,"Biguanide [EPC], Biguanides [CS]",$16.54,36
42858-869,DRONABINOL,Rhodes Pharmaceuticals L.P.,10,mg/1,"Cannabinoid [EPC], Cannabinoids [CS]",$175.13,85
63629-8808,Flurbiprofen,Bryant Ranch Prepack,100,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$153.78,65
51655-713,Carvedilol,Northwind Pharmaceuticals,3.125,mg/1,"Adrenergic alpha-Antagonists [MoA], Adrenergic beta1-Antagonists [MoA], Adrenergic beta2-Antagonists [MoA], alpha-Adrenergic Blocker [EPC], beta-Adrenergic Blocker [EPC]",$72.14,57
72888-012,cyclobenzaprine hydrochloride,Advagen Pharma Limited,5,mg/1,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",$14.30,85
60429-048,Nifedipine,"Golden State Medical Supply, Inc.",60,mg/1,"Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$48.33,67
53045-265,Sodium Fluoride,"Dharma Research, Inc.",38,g/L,,$51.75,56
62332-158,Pramipexole Dihydrochloride,Alembic Pharmaceuticals Inc.,3,mg/1,"Dopamine Agonists [MoA], Nonergot Dopamine Agonist [EPC]",$53.87,7
65162-573,Bethanechol Chloride,Amneal Pharmaceuticals LLC,25,mg/1,"Cholinergic Muscarinic Agonist [EPC], Cholinergic Muscarinic Agonists [MoA]",$184.42,70
0904-6899,Buspirone hydrochloride,Major Pharmaceuticals,15,mg/1,,$54.43,17
43602-981,sertraline hydrochloride,"Ascent Pharmaceuticals, Inc.",100,mg/1,"Cytochrome P450 2D6 Inhibitors [MoA], Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$185.32,84
0074-0817,Adalimumab,AbbVie Inc.,,,,$28.50,93
55700-823,Hydrocodone Bitartrate and Acetaminophen,"Quality Care Products, LLC",325; 7.5,mg/1; mg/1,"Opioid Agonist [EPC], Opioid Agonists [MoA]",$0.02,12
33342-115,Candesartan,Macleods Pharmaceuticals Limited,8,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$7.68,37
0187-5162,Tretinoin,"Bausch Health US, LLC",0.5,mg/g,"Retinoid [EPC], Retinoids [CS]",$43.64,88
0299-5935,trifarotene,"Galderma Laboratories, L.P.",50,ug/g,,$53.38,42
72205-022,Atorvastatin calcium,Novadoz Pharmaceuticals LLC,10,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$130.73,47
53002-4642,"Diclofenac Sodium Topical Gel, 1%,","RPK Pharmaceuticals, Inc.",10,mg/g,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]",$47.20,94
0169-7901,"(Coagulation Factor IX (Recombinant), GlycoPEGylated)",Novo Nordisk,,,,$81.98,88
68001-488,CAPECITABINE,BluePoint Laboratories,500,mg/1,"Nucleic Acid Synthesis Inhibitors [MoA], Nucleoside Metabolic Inhibitor [EPC]",$108.78,71
65145-127,Etomidate,Caplin Steriles Limited,2,mg/mL,"General Anesthesia [PE], General Anesthetic [EPC]",$27.45,72
0527-0794,"Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","Lannett Company, Inc.",6.25; 6.25; 6.25; 6.25,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$17.11,65
59088-430,LIDOCAINE HCL - HYDROCORTISONE ACETATE,PureTek Corporation,5; 30,mg/g; mg/g,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Local Anesthesia [PE]",$26.63,6
67877-440,Rosuvastatin Calcium,"Ascend Laboratories, LLC",10,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$15.54,92
63459-215,Armodafinil,"Cephalon, LLC",150,mg/1,,$14.04,99
43063-962,Hydroxyzine Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",25,mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA]",$135.02,38
